260706-00:31:04.221728 [mod=RTMESSAGE, lvl=INFO] [tid=2242] WifiProvider_getHandler Device.WiFi.X_RDKCENTRAL-COM_IPv6Address

260706-00:31:04.222265 [mod=RDKCPROVIDER, lvl=INFO] [tid=2242] IPV6 address is 2601:240:de00:b470:3e62:f0ff:fe3a:f5a7
260706-00:31:04.224785 [mod=RTMESSAGE, lvl=INFO] [tid=2296] RFCFeatureProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_Syndication.PartnerId

260706-00:31:04.236506 [mod=RDKCPROVIDER, lvl=INFO] [tid=2242] DeviceInfoProvider_getHandler Device.DeviceInfo.X_RDK_FirmwareName
260706-00:31:04.237189 [mod=RDKCPROVIDER, lvl=INFO] [tid=2242] device info get value:XHC3_8.4p1s1_PROD_sdy
260706-00:31:04.242707 [mod=RTMESSAGE, lvl=INFO] [tid=2296] RFCFeatureProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.AccountInfo.AccountID

260706-00:46:04.221973 [mod=RDKCPROVIDER, lvl=INFO] [tid=2242] DeviceInfoProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_MAC
260706-00:46:04.222204 [mod=RDKCPROVIDER, lvl=INFO] [tid=2242] Successfully obtained MAC in getVal 3c:62:f0:3a:f5:a7
260706-00:46:04.222279 [mod=RDKCPROVIDER, lvl=INFO] [tid=2242] device info get value:3c:62:f0:3a:f5:a7
260706-00:46:04.225460 [mod=RTMESSAGE, lvl=INFO] [tid=2242] WifiProvider_getHandler Device.WiFi.X_RDKCENTRAL-COM_IPv4Address

260706-00:46:04.228315 [mod=RTMESSAGE, lvl=INFO] [tid=2242] WifiProvider_getHandler Device.WiFi.X_RDKCENTRAL-COM_IPv6Address

260706-00:46:04.228842 [mod=RDKCPROVIDER, lvl=INFO] [tid=2242] IPV6 address is 2601:240:de00:b470:3e62:f0ff:fe3a:f5a7
